comboId,facetId,facetName,conceptId,conceptName,rdId,rdLabel,rdType,cuiMap,documentToCui,scopeNotes,lifecycleStage
conditionfidp9190,condition,Conditions,fidp9190,Abdominal Adhesions,abo1721,"adhesions, abdominal",Condition,,,,Active
conditionfidp2997,condition,Conditions,fidp2997,Abdominal Aortic Aneurysm (AAA),tw12487,abdominal aortic aneurysm,Condition,,,,Active
conditionfidp2998,condition,Conditions,fidp2998,Abdominal Pain,,,,,,MULTI,Active
conditionfidp9191,condition,Conditions,fidp9191,Abdominal Strain,,,,,zp4480,,Active
conditionfidp8485,condition,Conditions,fidp8485,Abnormal Bleeding,,,,C0741553,,,Active
conditionfidp8729,condition,Conditions,fidp8729,Abnormal Pap Test,uh4112,abnormal pap,Condition,,,,Active
conditionfidp2286,condition,Conditions,fidp2286,Abnormal Sweating,ug5290,hyperhidrosis,Condition,,,,Active
conditionfidp8486,condition,Conditions,fidp8486,Abnormal Uterine Bleeding,uf7289,abnormal uterine bleeding (Scope note),Condition,,,,Active
conditionfidp1412,condition,Conditions,fidp1412,Abnormal Weight Gain,ut2712,abnormal weight gain,Condition,,,,Active
conditionfidp3172,condition,Conditions,fidp3172,Abnormal Weight Loss,ut2722,abnormal weight loss,Symptom,,,,Active
conditionfidp2999,condition,Conditions,fidp2999,Abscessed Tooth,uh3727,dental abscess,Condition,,,,Active
conditionfidp9192,condition,Conditions,fidp9192,Accidental Amputation,,,,C0002694,,,Active
conditionfidp8660,condition,Conditions,fidp8660,Accidental Needle Sticks,ug5302,needlestick injury,Condition,,,,Active
conditionfidp2287,condition,Conditions,fidp2287,Achilles Tendon Injury,ut2250,achilles tendon tear,Condition,,,,Active
conditionfidp2288,condition,Conditions,fidp2288,ACL Injury,uf8504,ACL tear,Condition,,,,Active
conditionfidp1218,condition,Conditions,fidp1218,Acne,uf7818,acne,Condition,,,,Active
conditionfidp2289,condition,Conditions,fidp2289,Acoustic Neuroma,zc1499,acoustic neuroma,Condition,,,,Active
conditionfidp9193,condition,Conditions,fidp9193,Acrodermatitis Enteropathica,,,,C0221036,,,Active
conditionfidp2290,condition,Conditions,fidp2290,Acromegaly,ut2956,acromegaly,Condition,,,,Active
conditionfidp9194,condition,Conditions,fidp9194,Actinic Keratosis (AK),uf8051,actinic keratosis,Condition,,,,Active
conditionfidp512,condition,Conditions,fidp512,Acute Chest Syndrome,,,,C0742343,,,Active
conditionfidp36,condition,Conditions,fidp36,Acute Coronary Syndrome (ACS),,,,,,MULTI,Active
conditionfidp2293,condition,Conditions,fidp2293,Acute Illness,,,,C0221423,,,Active
conditionfidp287,condition,Conditions,fidp287,Acute Kidney Injury,ug5310,acute kidney injury (formerly acute renal failure),Condition,,,,Active
conditionfidp9195,condition,Conditions,fidp9195,Acute Lymphoblastic Leukemia (ALL),uf8943,"leukemia, acute lymphocytic",Condition,,,,Active
conditionfidp9196,condition,Conditions,fidp9196,Acute Myeloid Leukemia (AML),uf8953,"leukemia, acute myelogenous",Condition,,,,Active
conditionfidp9197,condition,Conditions,fidp9197,Acute Pelvic Pain,uh2648,acute pelvic pain,Symptom,,,,Active
conditionfidp101,condition,Conditions,fidp101,Acute Respiratory Distress Syndrome (ARDS),,,,,abn1432,,Active
conditionfidp9198,condition,Conditions,fidp9198,Addison's Disease,ut2651,Addisons disease,Condition,,,,Active
conditionfidp9199,condition,Conditions,fidp9199,Adenoid Problems,,,,,,BROAD (abp2292),Active
conditionfidp489,condition,Conditions,fidp489,Adenomyosis,,,,C0341858,,,Active
conditionfidp9179,condition,Conditions,fidp9179,ADHD,,,,,,MULTI,Active
conditionfidp2295,condition,Conditions,fidp2295,Adjustment Disorder,ut2412,adjustment disorder,Condition,,,,Active
conditionfidp9077,condition,Conditions,fidp9077,Adrenocortical Carcinoma,,,,C0346402,,,Active
conditionfidp9200,condition,Conditions,fidp9200,Advanced Maternal Age,uh3655,advanced maternal age (pregnancy),Condition,,,,Active
conditionfidp633,condition,Conditions,fidp633,Agammaglobulinemia,,,,C0001768,,,Active
conditionfidp9201,condition,Conditions,fidp9201,Age-Related Cognitive Decline,,,,C0236848,,,Active
conditionfidp3189,condition,Conditions,fidp3189,Alcohol Abuse and Dependence,gapdoc00039,ol dependence/addiction,Condition,,,,Active
conditionfidp9202,condition,Conditions,fidp9202,Alcohol Intoxication,gapdoc00040,alcohol abuse/intoxication,Condition,,,,Active
conditionfidp8487,condition,Conditions,fidp8487,Alcohol Withdrawal,gapdoc00124,alcohol withdrawal (Scope note),Condition,,,,Active
