facetName,facetValueId,facetValueLabel
Audience,fidp727,Advocate
Audience,fidp423,Caregiver
Audience,fidp2593,Other
Audience,fidp341,Parent
Audience,fidp295,Patient
Behavior Change Stage,fidp3223,Awareness
Behavior Change Stage,fidp3226,Behavior
Behavior Change Stage,fidp5596,Learning
Behavior Change Stage,fidp3225,Motivation
Behavior Change Stage,fidp8242,N/A
Behavior Change Stage,fidp3227,Sustainability
Conditions,fidp9190,Abdominal Adhesions
Conditions,fidp2997,Abdominal Aortic Aneurysm (AAA)
Conditions,fidp2998,Abdominal Pain
Conditions,fidp9191,Abdominal Strain
Conditions,fidp8485,Abnormal Bleeding
Conditions,fidp8729,Abnormal Pap Test
Conditions,fidp2286,Abnormal Sweating
Conditions,fidp8486,Abnormal Uterine Bleeding
Conditions,fidp1412,Abnormal Weight Gain
Conditions,fidp3172,Abnormal Weight Loss
Conditions,fidp2999,Abscessed Tooth
Conditions,fidp9192,Accidental Amputation
Conditions,fidp8660,Accidental Needle Sticks
Conditions,fidp2287,Achilles Tendon Injury
Conditions,fidp2288,ACL Injury
Conditions,fidp1218,Acne
Conditions,fidp2289,Acoustic Neuroma
Conditions,fidp9193,Acrodermatitis Enteropathica
Conditions,fidp2290,Acromegaly
Conditions,fidp9194,Actinic Keratosis (AK)
Conditions,fidp512,Acute Chest Syndrome
Conditions,fidp36,Acute Coronary Syndrome (ACS)
Conditions,fidp2293,Acute Illness
Conditions,fidp287,Acute Kidney Injury
Conditions,fidp9195,Acute Lymphoblastic Leukemia (ALL)
Conditions,fidp9196,Acute Myeloid Leukemia (AML)
Conditions,fidp9197,Acute Pelvic Pain
Conditions,fidp101,Acute Respiratory Distress Syndrome (ARDS)
Conditions,fidp9198,Addison's Disease
Conditions,fidp9199,Adenoid Problems
Conditions,fidp489,Adenomyosis
Conditions,fidp9179,ADHD
Conditions,fidp2295,Adjustment Disorder
Conditions,fidp9077,Adrenocortical Carcinoma
Conditions,fidp9200,Advanced Maternal Age
Conditions,fidp633,Agammaglobulinemia
Conditions,fidp9201,Age-Related Cognitive Decline
Conditions,fidp3189,Alcohol Abuse and Dependence
Conditions,fidp9202,Alcohol Intoxication
Conditions,fidp8487,Alcohol Withdrawal
Conditions,fidp768,Alcoholic Cardiomyopathy
Conditions,fidp9203,Alcoholic Hepatitis
Conditions,fidp2585,Allergic Reactions
Conditions,fidp8722,Allergic Rhinitis
Conditions,fidp1102,Allergies
Conditions,fidp8488,Alpha-1 Antitrypsin Deficiency
Conditions,fidp9204,Altered Mental Status
Conditions,fidp1088,Altitude Sickness
Conditions,fidp9205,Alzheimer's Disease
Conditions,fidp3002,Amenorrhea
Conditions,fidp507,Amnesia
Conditions,fidp1668,Anal Cancer
Conditions,fidp3242,Anal Fissure
Conditions,fidp3211,Anal Fistula
Conditions,fidp8489,Anal Itching
Conditions,fidp9206,Anal Pain
Conditions,fidp9207,Anaphylactic Reaction
Conditions,fidp1742,Anemia
Conditions,fidp9208,Anemia During Pregnancy
Conditions,fidp8436,Anemia of Chronic Disease
Conditions,fidp9209,Anemia of Prematurity
Conditions,fidp9210,Anger and Aggressive Behavior
Conditions,fidp9211,Angina Chest Pain
Conditions,fidp2298,Angioedema
Conditions,fidp5030,Animal Bites
Conditions,fidp1005,Ankle Injuries and Problems
Conditions,fidp9212,Ankle Laxity
Conditions,fidp608,Ankle Sprain
Conditions,fidp866,Ankylosing Spondylitis
Conditions,fidp2299,Anorectal Disorders
Conditions,fidp5032,Anorexia
Conditions,fidp1776,Anthrax
Conditions,fidp1529,Antiphospholipid Syndrome (APS)
Conditions,fidp9213,Anxiety
Conditions,fidp9214,Aortic Aneurysm
Conditions,fidp8490,Aortic Dissection
Conditions,fidp8491,Aortic Valve Regurgitation
Conditions,fidp5080,Aortic Valve Stenosis
Conditions,fidp1785,Appendicitis
Conditions,fidp2301,Arm Injuries and Problems
Conditions,fidp8923,Arm Pain
Conditions,fidp2302,Arteriovenous Malformation (AVM)
Conditions,fidp9215,Arthritis (General)
Conditions,fidp8372,Asbestosis
Conditions,fidp1304,Ascites
Conditions,fidp9216,Asherman's Syndrome
Conditions,fidp9217,Asperger's Syndrome
Conditions,fidp9218,Aspiration Pneumonia
Conditions,fidp1124,Asthma
Conditions,fidp8647,Asthma Attack
Conditions,fidp3176,Asthma in Children
Conditions,fidp1580,Astigmatism
Conditions,fidp9104,Astrocytoma
Conditions,fidp9219,Athlete's Foot
Conditions,fidp5865,Atrial Fibrillation (A-Fib)
Conditions,fidp9220,Atrial Septal Defect (ASD)
Conditions,fidp5716,Atrioventricular Septal Defect (AVSD)
Conditions,fidp9221,Atrophic Vaginitis
Conditions,fidp9222,Atypical Teratoid/Rhabdoid Tumor (AT/RT)
Conditions,fidp1685,Autism
Conditions,fidp418,Autism Spectrum Disorder
Conditions,fidp9223,Autoimmune Hepatitis
Conditions,fidp2304,Autonomic Dysreflexia
Conditions,fidp12,Autosomal Recessive Disease
Conditions,fidp250,Back Injuries and Problems
Conditions,fidp1166,Back Pain
Conditions,fidp9224,Back Strain or Sprain
Conditions,fidp9225,Bacterial Endocarditis
Conditions,fidp2305,Bacterial Infections
Conditions,fidp8370,Bacterial Meningitis
Conditions,fidp1215,Bacterial Vaginosis
Conditions,fidp9226,Bad Breath (Halitosis)
Conditions,fidp8523,Bad Taste in Mouth
Conditions,fidp9227,Baker's Cyst
Conditions,fidp2306,Balanitis
Conditions,fidp9228,Barrett's Esophagus
Conditions,fidp2307,Bartholin Gland Cyst
Conditions,fidp9229,Basal Cell Skin Cancer
Conditions,fidp703,Bedbugs
Conditions,fidp1319,Bed-Wetting
Conditions,fidp9230,Bell's Palsy
Conditions,fidp9231,Benign Brain Tumor
Conditions,fidp9232,Benign Paroxysmal Positional Vertigo (BPPV)
Conditions,fidp9233,Bicep Tendinitis
Conditions,fidp9234,Bicuspid Aortic Valve
Conditions,fidp9235,Bile Duct Cancer
Conditions,fidp9236,Bile Duct Infection (Cholangitis)
Conditions,fidp2309,Biliary Atresia
Conditions,fidp8493,Binge Eating
Conditions,fidp966,Bipolar Disorder
Conditions,fidp1556,Bird Flu
Conditions,fidp1643,Birth Defects
Conditions,fidp2310,Birthmarks
Conditions,fidp2311,Bites and Stings
Conditions,fidp2407,Biting
Conditions,fidp2312,Black Eye
Conditions,fidp901,Black Lung Disease
Conditions,fidp8494,Blackouts
Conditions,fidp1801,Bladder Cancer
Conditions,fidp161,Bladder Prolapse (Cystocele)
Conditions,fidp2313,Bleeding After Surgery
Conditions,fidp9237,Blepharitis (Eyelid Inflammation)
Conditions,fidp2314,Blighted Ovum
Conditions,fidp5072,Blisters
Conditions,fidp294,Blocked or Infected Sweat Glands
Conditions,fidp1755,Blocked Tear Duct
Conditions,fidp2316,Blood Clots
Conditions,fidp9238,Blood in the Eye (Subconjunctival Hemorrhage)
Conditions,fidp1678,Blood in the Urine
Conditions,fidp1658,Bloom Syndrome
Conditions,fidp1165,Body Piercing Problems
Conditions,fidp1100,Boils
Conditions,fidp2318,Bone Infection (Osteomyelitis)
Conditions,fidp2319,Bone Spurs
Conditions,fidp8495,Botulism
Conditions,fidp908,Bowel Obstruction
Conditions,fidp9239,Brachial Plexus Palsy
Conditions,fidp8678,Bradycardia (Slow Heart Rate)
Conditions,fidp5067,Brain Aneurysm
Conditions,fidp1606,Brain Cancer
Conditions,fidp9088,Brain Stem Glioma
Conditions,fidp9240,Braxton Hicks Contractions
Conditions,fidp2321,Breast Abscess
Conditions,fidp1271,Breast Cancer
Conditions,fidp8496,Breast Engorgement
Conditions,fidp3049,Breast Infection (Mastitis)
Conditions,fidp2322,Breast Lumps
Conditions,fidp8497,Breast Pain
Conditions,fidp1311,Breast Problems
Conditions,fidp1732,Breath-Holding Spells
Conditions,fidp445,Breathing Problems
Conditions,fidp9241,Breathing Problems (Newborns)
Conditions,fidp9242,Breech Position and Birth
Conditions,fidp8849,Broken (Fractured) Ankle
Conditions,fidp8843,Broken (Fractured) Arm
Conditions,fidp8213,Broken (Fractured) Collarbone
Conditions,fidp8844,Broken (Fractured) Elbow
Conditions,fidp8851,Broken (Fractured) Finger
Conditions,fidp8852,Broken (Fractured) Foot
Conditions,fidp8845,Broken (Fractured) Hand
Conditions,fidp8846,Broken (Fractured) Jaw
Conditions,fidp8853,Broken (Fractured) Leg
