comboId,facetId,facetName,conceptId,conceptName,rdId,rdLabel,rdType,cuiMap,documentToCui,scopeNotes,lifecycleStage
fidp7650fidp8745,fidp7650,Procedures,fidp8745,Abdominal Hysterectomy (Laparoscopic),,,,,"abp9144,abp9154",,Active
fidp7650fidp7662,fidp7650,Procedures,fidp7662,Abortion,,,,,,BROAD,Active
fidp7650fidp7910,fidp7650,Procedures,fidp7910,Abscess Drainage,,,,,,"MULTI - hw43061,tn8001 (pelvic, breast abscess)",Active
fidp7650.fidp7663.zc2320,fidp7650,Procedures,fidp7663,Achilles Tendon Repair,zc2320,achilles tendon repair,Surgical/Test Procedure,,,,Active
fidp7650fidp7664,fidp7650,Procedures,fidp7664,ACL Surgery,ug3484,ACL reconstruction,Surgical/Test Procedure,,,,Active
fidp7650fidp7665,fidp7650,Procedures,fidp7665,Acromioplasty,,,,,hw61928,,Active
fidp7650fidp7666,fidp7650,Procedures,fidp7666,Adenoidectomy,,,,,,"MULTI - gapdoc00235, gapdoc00236 (under 12, 12 and over)",Active
fidp7650fidp7667,fidp7650,Procedures,fidp7667,Adhesions Surgery,,,,,"abo1713,abo1725",,Active
fidp7650fidp7668,fidp7650,Procedures,fidp7668,Allogeneic Stem Cell Transplant,,,,,tv7978,,Active
fidp7650fidp7669,fidp7650,Procedures,fidp7669,Amputation,,,,,,"MULTI (above the knee, below the knee, foot, toe, fingertip)",Active
fidp7650.fidp7670.ud1325,fidp7650,Procedures,fidp7670,Anal Fistulotomy,ud1325,Anal fistulotomy,Surgical/Test Procedure,,,,Active
fidp7650fidp8248,fidp7650,Procedures,fidp8248,Anesthesia (General),uz1714,anesthesia (unspecified),Medication/Device,,,,Active
fidp7650fidp7671,fidp7650,Procedures,fidp7671,Angioplasty,,,,,,definition/frame,Active
fidp7650.fidp7672.zc2403,fidp7650,Procedures,fidp7672,Ankle Arthroscopy,zc2403,ankle arthroscopy,Surgical/Test Procedure,,,,Active
fidp7650fidp9150,fidp7650,Procedures,fidp9150,ankle fusion,,,,,,"MULTI - gapdoc00219, gapdoc00220 (open, arthroscopic)",Active
fidp7650fidp7673,fidp7650,Procedures,fidp7673,Anorectal Abscess Surgery,ud1343,Incision and drainage of perianal abscess,Surgical/Test Procedure,,,,Active
fidp7650fidp7674,fidp7650,Procedures,fidp7674,Anterior Temporal Lobectomy,,,,,aa36596,,Active
fidp7650fidp7675,fidp7650,Procedures,fidp7675,Aortic Aneurysm Repair,,,,,,"MULTI - ud1765, zc2718 (abdominal aortic, thoracic aortic)",Active
fidp7650fidp7676,fidp7650,Procedures,fidp7676,Aortic Valve Surgery,abk2175,aortic valve replacement,Surgical/Test Procedure,,,,Active
fidp7650fidp7677,fidp7650,Procedures,fidp7677,Aortobifemoral Bypass Surgery,zc2736,Aortobifemoral Bypass,Surgical/Test Procedure,,,,Active
fidp7650.fidp7678.ud1781,fidp7650,Procedures,fidp7678,Appendectomy,ud1781,appendectomy,Surgical/Test Procedure,,,,Active
fidp7650.fidp7679.zc2754,fidp7650,Procedures,fidp7679,Arteriovenous Malformation (AVM) Repair,zc2754,arteriovenous malformation (AVM) repair,Surgical/Test Procedure,,,,Active
fidp7650fidp8120,fidp7650,Procedures,fidp8120,Arthrocentesis,,,,,hw209249 ,Specific to TMJ,Active
fidp7650fidp7680,fidp7650,Procedures,fidp7680,Arthroplasty,,,,C0003893  ,,,Active
fidp7650fidp7681,fidp7650,Procedures,fidp7681,Arthroscopic Surgery (General),,,,,,"MULTI - hw198580,aa18749 (general, RA)",Active
fidp7650fidp7682,fidp7650,Procedures,fidp7682,Artificial Rupture of the Membranes,abn3047,artificial rupture of the membranes,Surgical/Test Procedure,,,,Active
fidp7650fidp7683,fidp7650,Procedures,fidp7683,Artificial Urinary Sphincter Placement,,,,,zp2689,,Active
fidp7650fidp7684,fidp7650,Procedures,fidp7684,Atherectomy,,,,,hw101454,,Active
fidp7650.fidp7685.zc2363,fidp7650,Procedures,fidp7685,Aural Atresia Repair,zc2363,aural atresia repair,Surgical/Test Procedure,,,,Active
fidp7650fidp7686,fidp7650,Procedures,fidp7686,Autologous Stem Cell Transplant,,,,C0371849,,,Active
fidp7650.fidp7687.ug3520,fidp7650,Procedures,fidp7687,Axillary Lymph Node Dissection,ug3520,Axillary Lymph Node Dissection,Surgical/Test Procedure,,,,Active
fidp7650fidp8781,fidp7650,Procedures,fidp8781,Back Surgery,,,,,,BROAD,Active
fidp7650fidp7688,fidp7650,Procedures,fidp7688,Balloon Valvuloplasty,abk2122,percutaneous balloon valvuloplasty,Surgical/Test Procedure,,,,Active
fidp7650.fidp7690.zy1271,fidp7650,Procedures,fidp7690,Bartholin Cyst Surgery,zy1271,bartholin cyst surgery,Surgical/Test Procedure,,,,Active
fidp7650fidp7691,fidp7650,Procedures,fidp7691,Biceps Tendon Repair,,,,,,"MULTI - ug3946, uz1882 (proximal, distal)",Active
fidp7650fidp8374,fidp7650,Procedures,fidp8374,Biliary Drainage,,,,,abq1886,,Active
fidp7650fidp7692,fidp7650,Procedures,fidp7692,Biliopancreatic Diversion,abk3526,biliopancreatic diversion with duodenal switch,Surgical/Test Procedure,,,,Active
fidp7650fidp8782,fidp7650,Procedures,fidp8782,Biopsy (General),,,,,,BROAD,Active
fidp7650fidp8903,fidp7650,Procedures,fidp8903,Birth Control,,,,,,BROAD,Active
fidp7650.fidp7693.ud1865,fidp7650,Procedures,fidp7693,Bladder Augmentation,ud1865,bladder augmentation,Surgical/Test Procedure,,,,Active
fidp7650fidp8470,fidp7650,Procedures,fidp8470,Blood Banking,,,,C0200496  ,,,Active
fidp7650fidp7695,fidp7650,Procedures,fidp7695,Blood Donation,,,,C0005794,,,Active
fidp7650fidp8807,fidp7650,Procedures,fidp8807,Blood Patch,,,,C0162649,,,Active
fidp7650.fidp7696.gapdoc00003,fidp7650,Procedures,fidp7696,Blood Transfusion,gapdoc00003,blood transfusion,Surgical/Test Procedure,,,,Active
fidp7650fidp8406,fidp7650,Procedures,fidp8406,Bone Biopsy,,,,,,BROAD (hw200157),Active
fidp7650fidp7697,fidp7650,Procedures,fidp7697,Bone Fracture Reduction,,,,,,"MULTI - ud1283, ud1706 (open reduction, closed reduction)",Active
fidp7650fidp8762,fidp7650,Procedures,fidp8762,Bone Marrow Aspiration,bo1297,bone marrow aspiration and biopsy,Surgical/Test Procedure,,,,Active
fidp7650fidp8415,fidp7650,Procedures,fidp8415,Bone Marrow Biopsy,bo1297,bone marrow aspiration and biopsy,Surgical/Test Procedure,,,,Active
fidp7650.fidp7698.abk3402,fidp7650,Procedures,fidp7698,Bone Marrow Transplant,abk3402,bone marrow transplant,Surgical/Test Procedure,,,,Active
fidp7650.fidp7699.zu2066,fidp7650,Procedures,fidp7699,Bone Spur Repair,zu2066,bone spur repair,Surgical/Test Procedure,,,,Active
fidp7650fidp8749,fidp7650,Procedures,fidp8749,Bowel Obstruction Stent Treatment,,,,,ue5351,,Active
fidp7650fidp7700,fidp7650,Procedures,fidp7700,Bowel Resection,,,,,,"MULTI - zc2026, zc2047 (laproscopic, open)",Active
fidp7650fidp8836,fidp7650,Procedures,fidp8836,Brachial Plexus Block,,,,C0394697,,,Active
fidp7650fidp7701,fidp7650,Procedures,fidp7701,Brain Aneurysm Surgery,,,,,,"MULTI - zy1499, zy1503 (clipping, coiling)",Active
fidp7650fidp7702,fidp7650,Procedures,fidp7702,Breast Abscess Drainage,,,,C0405391,,,Active
fidp7650fidp8416,fidp7650,Procedures,fidp8416,Breast Biopsy,,,,,,"MULTI - ud3334, ug3511 (open, sentinel node, plus dmaps for other types)",Active
fidp7650fidp8783,fidp7650,Procedures,fidp8783,Breast Cancer Surgery,,,,,,BROAD,Active
fidp7650.fidp7704.tw12671,fidp7650,Procedures,fidp7704,Breast Enlargement Surgery,tw12671,Breast enlargement surgery,Surgical/Test Procedure,,,,Active
fidp7650fidp7705,fidp7650,Procedures,fidp7705,Breast Reconstruction Surgery,,,,,,"MULTI - tw12584, tw12628 (w/muscle flap, w/ tissue expander)",Active
fidp7650.fidp7706.tw12680,fidp7650,Procedures,fidp7706,Breast Reduction Surgery,tw12680,breast reduction surgery,Surgical/Test Procedure,,,,Active
fidp7650fidp8122,fidp7650,Procedures,fidp8122,Breast Surgery,,,,,,BROAD,Active
fidp7650fidp8922,fidp7650,Procedures,fidp8922,breast surgery,,,,,,duplicate term,Deleted
fidp7650.fidp8417.bu1162,fidp7650,Procedures,fidp8417,Bronchoscopy,bu1162,Bronchoscopy,Surgical/Test Procedure,,,,Active
fidp7650fidp7707,fidp7650,Procedures,fidp7707,Bullectomy,,,,,hw164529,,Active
fidp7650fidp7708,fidp7650,Procedures,fidp7708,Bunion Surgery,zu2044,Bunionectomy,Surgical/Test Procedure,,,,Active
fidp7650fidp8736,fidp7650,Procedures,fidp8736,Burn Care,,,,C1276417,,,Active
fidp7650fidp7709,fidp7650,Procedures,fidp7709,Bursa Aspiration,,,,C0392801,,,Active
fidp7650.fidp7710.zc2372,fidp7650,Procedures,fidp7710,Canaloplasty,zc2372,Canaloplasty,Surgical/Test Procedure,,,,Active
fidp7650fidp7712,fidp7650,Procedures,fidp7712,Cardiac Resynchronization Therapy (Pacemaker),,,,,,MULTI - ud2553 plus direct maps,Active
fidp7650fidp8405,fidp7650,Procedures,fidp8405,Cardiac Ventriculography,,,,,tu6125abc,,Active
fidp7650fidp7713,fidp7650,Procedures,fidp7713,Cardioversion,,,Surgical/Test Procedure,,,"MULTI - zu2278, gapdoc00034 (electrical, chemical)",Active
fidp7650fidp7714,fidp7650,Procedures,fidp7714,Carotid Artery Stenting,ud2963,carotid artery stent placement,Surgical/Test Procedure,,,,Active
fidp7650.fidp7715.zc2745,fidp7650,Procedures,fidp7715,Carotid Endarterectomy (CEA),zc2745,carotid endarterectomy,Surgical/Test Procedure,,,,Active
fidp7650fidp7716,fidp7650,Procedures,fidp7716,Carpal Tunnel Surgery,,,Surgical/Test Procedure,,,"MULTI - gapdoc00184, gapdoc00185 (endoscopic, open)",Active
fidp7650fidp8003,fidp7650,Procedures,fidp8003,Casting and Splinting,,,Medication/Device,,,"MULTI - gapdoc00047, te8245 (cast care, spints (device))",Active
fidp7650fidp7717,fidp7650,Procedures,fidp7717,Cataract Surgery,zy1459,Cataract surgery,Surgical/Test Procedure,,,,Active
fidp7650fidp7718,fidp7650,Procedures,fidp7718,Catheter Ablation,zy1373,Electrophysiology Study with Catheter Ablation,Surgical/Test Procedure,,,,Active
fidp7650fidp8810,fidp7650,Procedures,fidp8810,Caudal Block,,,,,abq2867,,Active
fidp7650fidp7720,fidp7650,Procedures,fidp7720,Central Venous Catheterization,zc1976,central venous catheter,Medication/Device,,,,Active
fidp7650fidp7721,fidp7650,Procedures,fidp7721,Cerebral Palsy Orthopedic Surgery,,,,,,"BROAD - C1136201 - ""Orthopedic Surgical Procedures""",Active
fidp7650fidp8407,fidp7650,Procedures,fidp8407,Cervical Biopsy,,,,,,Part of uf10320 Colposcopy,Active
fidp7650fidp7722,fidp7650,Procedures,fidp7722,Cervical Cerclage,,,,C0195681,,,Active
fidp7650.fidp7723.zc2112,fidp7650,Procedures,fidp7723,Cervical Discectomy,zc2112,cervical discectomy,Surgical/Test Procedure,,,,Active
fidp7650.fidp8874.gapdoc00204,fidp7650,Procedures,fidp8874,Cervical Epidural Steroid Injection,gapdoc00204,Cervical Epidural Steroid Injection,Surgical/Test Procedure,,,,Active
fidp7650fidp7711,fidp7650,Procedures,fidp7711,Cervical Laser Surgery,,,,C0195444,,,Active
fidp7650.fidp7724.tw12648,fidp7650,Procedures,fidp7724,Cervical Myelopathy Surgery,tw12648,cervical myelopathy surgery ,Surgical/Test Procedure,,,,Active
fidp7650.fidp7725.zx4109,fidp7650,Procedures,fidp7725,Cervical Spinal Fusion,zx4109,Cervical Spinal Fusion,Surgical/Test Procedure,,,,Active
fidp7650.fidp7727.ud1242,fidp7650,Procedures,fidp7727,Cesarean Section,ud1242,Cesarean Section,Surgical/Test Procedure,,,,Active
fidp7650fidp7728,fidp7650,Procedures,fidp7728,Chelation Therapy,,,,C0007975,,,Active
fidp7650fidp7729,fidp7650,Procedures,fidp7729,Chemical Ablation,,,,C0441474  ,,,Active
fidp7650fidp7730,fidp7650,Procedures,fidp7730,Chemical Peels,,,,C0007979,,,Active
fidp7650.fidp8573.tw12462,fidp7650,Procedures,fidp8573,Chemotherapy,tw12462,chemotherapy,Medication/Device,,,,Active
fidp7650fidp7731,fidp7650,Procedures,fidp7731,Chest Tube Insertion,zu2150,chest tube,Surgical/Test Procedure,,,,Active
