comboId,facetId,facetName,conceptId,conceptName,rdId,rdLabel,rdType,cuiMap,documentToCui,scopeNotes,lifecycleStage
fidp6289fidp7252,fidp6289,Tests,fidp7252,A1c Test,bu1207,Hemoglobin A1c measurement,Surgical/Test Procedure,,,,Active
fidp6289.fidp7253.abo2715,fidp6289,Tests,fidp7253,Abdominal Ultrasound,abo2715,abdominal ultrasound,Surgical/Test Procedure,,,,Active
fidp6289fidp7254,fidp6289,Tests,fidp7254,Abdominal X-Ray,,,,,hw198296,,Active
fidp6289fidp8360,fidp6289,Tests,fidp8360,ADHD Test,,,,,,BROAD,Active
fidp6289fidp7255,fidp6289,Tests,fidp7255,Adrenocorticotropic Hormone Test,,,,,hw1613,,Active
fidp6289fidp7256,fidp6289,Tests,fidp7256,Alanine Aminotransferase (ALT) Test,abk7756,alanine aminotransferase (ALT),Surgical/Test Procedure,,,,Active
fidp6289fidp7257,fidp6289,Tests,fidp7257,Albumin Protein Test,,,Surgical/Test Procedure,,,"MULTI - ug5642, abk8520 (urine, serum)",Active
fidp6289fidp7481,fidp6289,Tests,fidp7481,Albumin-Creatinine Ratio Test,abl0035,Albumin-Creatinine Ratio,Surgical/Test Procedure,,,,Active
fidp6289fidp7258,fidp6289,Tests,fidp7258,Aldosterone Test,,,,,,"MULTI - dmaps (hw6534, tw12850; blood and urine)",Active
fidp6289fidp7259,fidp6289,Tests,fidp7259,Alkaline Phosphatase (ALP) Test,abk7774,alkaline phosphatase,Surgical/Test Procedure,,,,Active
fidp6289fidp7260,fidp6289,Tests,fidp7260,Allen Test,,,,C0231664,,,Active
fidp6289fidp7262,fidp6289,Tests,fidp7262,Allergy Tests,ug5344,allergy skin testing,Surgical/Test Procedure,,,,Active
fidp6289fidp7263,fidp6289,Tests,fidp7263,Alpha-1 Antitrypsin Deficiency Gene Test,,,,,uf6753,,Active
fidp6289fidp7264,fidp6289,Tests,fidp7264,Alpha-Fetoprotein (AFP) Test,,,,,hw1663,,Active
fidp6289fidp7265,fidp6289,Tests,fidp7265,Ambulatory EKG,zw1230,holter monitor,Surgical/Test Procedure,,,,Active
fidp6289fidp7266,fidp6289,Tests,fidp7266,Ammonia Test,,,,,hw1768,,Active
fidp6289.fidp7267.gapdoc00076,fidp6289,Tests,fidp7267,Amniocentesis,gapdoc00076,amniocentesis,Surgical/Test Procedure,,,,Active
fidp6289fidp7268,fidp6289,Tests,fidp7268,Amylase Test,,,,,hw1882,,Active
fidp6289fidp7269,fidp6289,Tests,fidp7269,Angiogram,,,,,,BROAD,Active
fidp6289fidp8342,fidp6289,Tests,fidp8342,Angiogram of the Lung,,,,,hw201194,,Active
fidp6289fidp7271,fidp6289,Tests,fidp7271,Ankle-Brachial Index Test,,,,,aa115638,,Active
fidp6289fidp7272,fidp6289,Tests,fidp7272,Antibiotic Sensitivity Test,,,,,aa76215,,Active
fidp6289fidp7273,fidp6289,Tests,fidp7273,Antibody Tests,,,,,,BROAD,Active
fidp6289fidp7274,fidp6289,Tests,fidp7274,Antigen Tests,,,,,hw186097 ,Concept is specific to Giardiasis,Active
fidp6289fidp7275,fidp6289,Tests,fidp7275,Antinuclear Antibody (ANA) Test,abl0062,ANA test,Surgical/Test Procedure,,,,Active
fidp6289fidp8126,fidp6289,Tests,fidp8126,Antithyroid Antibodies Test,,,,,"te2562,abq5900",,Active
fidp6289fidp7276,fidp6289,Tests,fidp7276,Aortic Aneurysm Screening,,,,C3698466,,Also add abdominal ultrasound RD,Active
fidp6289fidp7277,fidp6289,Tests,fidp7277,Apolipoprotein Genetic Test,,,,,hw135696,,Active
fidp6289fidp7278,fidp6289,Tests,fidp7278,Arterial Blood Gases (ABG) Test,ad1574,Arterial blood gas (ABG),Surgical/Test Procedure,,,,Active
fidp6289fidp7280,fidp6289,Tests,fidp7280,Aspartate Aminotransferase (AST) Test,abk7765,aspartate aminotransferatse (AST),Surgical/Test Procedure,,,,Active
fidp6289fidp7281,fidp6289,Tests,fidp7281,Asthma Challenge Test,,,,,hw161312,,Active
fidp6289fidp9183,fidp6289,Tests,fidp9183,Autoimmune Disease Tests,,,,,abq5017,,Active
fidp6289fidp7282,fidp6289,Tests,fidp7282,Autopsy,,,,,uz2102,,Active
fidp6289fidp7283,fidp6289,Tests,fidp7283,Bacterial Vaginosis Tests,,,,,hw3367,,Active
fidp6289.fidp7284.ut2342,fidp6289,Tests,fidp7284,Barium Enema Test,ut2342,Barium Enema Test,Surgical/Test Procedure,,,,Active
fidp6289fidp7285,fidp6289,Tests,fidp7285,Behavior Disorder Tests,,,,,,,Deleted
fidp6289.fidp7286.abk7747,fidp6289,Tests,fidp7286,Bilirubin Test,abk7747,bilirubin test,Surgical/Test Procedure,,,,Active
fidp6289fidp7287,fidp6289,Tests,fidp7287,Biophysical Profile (BPP) Test,,,,,"abq1866,tw9854",,Active
fidp6289fidp8351,fidp6289,Tests,fidp8351,Bladder Cancer Screening,,,,C2937274,,,Active
fidp6289fidp7288,fidp6289,Tests,fidp7288,Bladder Stress Tests,,,,C0430976,,,Active
fidp6289fidp7289,fidp6289,Tests,fidp7289,Blood Alcohol Test,gapdoc00243,Blood Alcohol Test,Surgical/Test Procedure,,,,Active
fidp6289fidp7290,fidp6289,Tests,fidp7290,Blood Cell Count,zw1271,Complete Blood Count (CBC),Surgical/Test Procedure,,,,Active
fidp6289fidp7291,fidp6289,Tests,fidp7291,Blood Clotting Test,,,,,,MULTI - multiple docs,Active
fidp6289.fidp7292.abk2283,fidp6289,Tests,fidp7292,Blood Culture,abk2283,blood culture,Surgical/Test Procedure,,,,Active
fidp6289fidp7293,fidp6289,Tests,fidp7293,Blood Pressure Test,zw1001,home blood pressure monitoring,Surgical/Test Procedure,,,,Active
fidp6289fidp7294,fidp6289,Tests,fidp7294,Blood Sugar (Glucose) Test,ad1603,blood glucose test,Surgical/Test Procedure,,,,Active
fidp6289fidp7295,fidp6289,Tests,fidp7295,Blood Tests,,,,,,BROAD,Active
fidp6289.fidp7296.ad1584,fidp6289,Tests,fidp7296,Blood Type Test,ad1584,blood type test,Surgical/Test Procedure,,,,Active
fidp6289.fidp7297.abk2293,fidp6289,Tests,fidp7297,Blood Urea Nitrogen (BUN) Test,abk2293,blood urea nitrogen test,Surgical/Test Procedure,,,,Active
fidp6289fidp8326,fidp6289,Tests,fidp8326,BMI,,body mass index,Surgical/Test Procedure,,,,Active
fidp6289fidp7298,fidp6289,Tests,fidp7298,Body Fat Testing,zp4369,body fat testing (skinfold method),Surgical/Test Procedure,,,,Active
fidp6289fidp9112,fidp6289,Tests,fidp9112,Body Fluid Tests,,,,,abq4419,,Active
fidp6289fidp7299,fidp6289,Tests,fidp7299,Body Temperature Measurement,,,,,,BROAD,Active
fidp6289fidp7302,fidp6289,Tests,fidp7302,Bone Density Test,zw1250,DEXA scan (for bone mineral density),Surgical/Test Procedure,,,,Active
fidp6289fidp7303,fidp6289,Tests,fidp7303,Bone Scan,,,,,hw200283,,Active
fidp6289fidp7304,fidp6289,Tests,fidp7304,Bonney Test,,,,C0430976,,Another name for Bladder Stress test,Active
fidp6289fidp7305,fidp6289,Tests,fidp7305,Bowel Transit Time Test,,,,,hw200330,,Active
fidp6289fidp7306,fidp6289,Tests,fidp7306,Brain Natriuretic Peptide (BNP) Test,,,,,ux1072,,Active
fidp6289fidp7308,fidp6289,Tests,fidp7308,Breast Cancer Gene (BRCA) Test,uf7467,"Breast Cancer Gene Test, BRCA",Surgical/Test Procedure,,,,Active
fidp6289.fidp7309.gapdoc00073,fidp6289,Tests,fidp7309,Breast Cancer Screening,gapdoc00073,breast cancer screening,Surgical/Test Procedure,,,,Active
fidp6289fidp7310,fidp6289,Tests,fidp7310,Breast Exam,uh4116,self breast exam,Prevention ,,,,Active
fidp6289fidp7311,fidp6289,Tests,fidp7311,Breast Ultrasound,,,,,hw31756,,Active
fidp6289fidp7312,fidp6289,Tests,fidp7312,Breath Alcohol Test,,,,,aa81725,,Active
fidp6289fidp9182,fidp6289,Tests,fidp9182,C. Difficile Toxins Test,,,,,abq4854,,Active
